NAME; STORE; STANDARD PRICE; ORIGINAL PRICE; SALE PRICE
Funko Pop! Stacks Plastic Protector, ;Hot Topic ;$10.50;
Funko Five Nights At Freddy's Arcade Vinyl Plushtrap Vinyl Figure, ;Hot Topic ;;$12.50;$10.00;;
Funko The Lord Of The Rings SuperCute Plushies Frodo Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Star Wars The Empire Strikes Back Mystery Minis Blind Box Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;;$7.90;$6.32;;
Funko Five Nights At Freddy's Arcade Vinyl Foxy Vinyl Figure, ;Hot Topic ;;$12.50;$10.00;;
Funko Five Nights At Freddy's Arcade Vinyl Toy Freddy Vinyl Figure, ;Hot Topic ;;$12.50;$10.00;;
Funko Where In The World Is Carmen Sandiego? Pop! Television Carmen Sandiego Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Rick And Morty 19" Pickle Rick (Biting Lip) Galactic Plush, ;Hot Topic ;;$34.90;$27.92;;
Funko The Lord Of The Rings Supercute Plushies Gollum Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Five Nights At Freddy's Arcade Vinyl Golden Freddy Vinyl Figure, ;Hot Topic ;;$12.50;$10.00;;
Funko Five Nights At Freddy's Arcade Vinyl Nightmare Freddy Vinyl Figure, ;Hot Topic ;;$12.50;$10.00;;
Funko Rick And Morty Pocket Pop! Snowball Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko DC Comics Diamond Collection Pop! Heroes Batgirl Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$14.50;
Funko Rock Candy Harry Potter Ron Weasley Vinyl Figure, ;Hot Topic ;;$12.50;$9.90;;
Funko Harry Potter Pop! Harry Potter Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney Pixar Monsters Inc Pocket Pop! Sulley Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko Harry Potter Rock Candy Lord Voldemort Vinyl Figure, ;Hot Topic ;;$12.50;$9.90;;
Funko Teen Titans Go! Pop! Television Raven As Lady Legasus Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$12.50;
Funko Tomb Raider Pocket Pop! Lara Croft Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko It Pocket Pop! Pennywise With Wig Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko It Pocket Pop! Pennywise With Spider Legs Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko It Pocket Pop! Pennywise With Balloon Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko Game Of Thrones Pocket Pop! Jon Snow Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko Game Of Thrones Pocket Pop! Daenerys Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko Marvel Ant-Man & The Wasp Pop! Wasp Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Marvel Deadpool Supercute Plushies Deadpool Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Hellboy Dorbz Abe Sapien Vinyl Figure, ;Hot Topic ;;$8.90;$7.00;;
Funko Los Angeles Angels Pop! MLB Mike Trout Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Seattle Mariners Pop! MLB Robinson Cano Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Washington Nationals Pop! MLB Max Scherzer Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Marvel Vynl. Deadpool & Cable Vinyl Figures, ;Hot Topic ;;$18.90;$15.12;;
Funko San Francisco Giants Pop! MLB Buster Posey Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko New York Yankees Pop! MLB Giancarlo Stanton Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko St. Louis Cardinals Pop! MLB Yadier Molina Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Cleveland Indians Pop! MLB Francisco Lindor Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko San Diego Padres Pop! MLB Wil Myers Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Boston Red Sox Pop! MLB Chris Sale Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Seattle Mariners Pop! MLB Nelson Cruz Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko New York Mets Pop! MLB Noah Syndergaard Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Houston Astros Pop! MLB Jose Altuve Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Boston Red Sox Pop! MLB Mookie Betts Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Washington Nationals Pop! MLB Bryce Harper Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Saturday Night Live Pop! SNL D*ck In A Box Vinyl Figure Set, ;Hot Topic ;;$22.50;$18.00;;
Funko Baby Driver Pop! Movies Bats Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Bob Ross Supercute Plushies Bob Ross Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Rick And Morty Dorbz Tinkles Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$8.90;
Funko Disney Pop! Doug Porkchop Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney Pixar Incredibles 2 Pop! Elastigirl Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Crunchyroll Collectible Box Hot Topic Exclusive, ;Hot Topic ;;$29.90;$23.92;;
Funko Disney The Nightmare Before Christmas Pop! Lock Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Galactic Plushies Rick And Morty Scary Terry Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Galactic Plushies Rick And Morty Krombopulos Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Disney The Nightmare Before Christmas Pop! Barrel Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Galactic Plushies Rick And Morty Toxic Morty Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Galactic Plushies Rick And Morty Squanchy Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Star Wars: The Last Jedi Pop! Rematch On The Supremacy Vinyl Bobble-Heads, ;Hot Topic ;;$32.50;$25.00;;
Funko Galactic Plushies Rick And Morty Snowball Plush, ;Hot Topic ;;$12.90;$10.32;;
