,NAME,STORE,ORIGINAL PRICE,SALE PRICE
88,"Funko Marvel Studios: The First Ten Years Pop! Gold Chrome Iron Man Bobble-Head, ",Hot Topic,14.50,11.60
89,"Funko Digimon Pop! Animation Matt Vinyl Figure, ",Hot Topic,12.50,9.00
90,"Funko Blink-182 Pop! Rocks Travis Barker Vinyl Figure, ",Hot Topic,12.50,9.00
91,"Funko The Nightmare Before Christmas Mystery Minis Blind Box Vinyl Figure, ",Hot Topic,7.90,6.32
92,"Funko The Nightmare Before Christmas Mystery Minis Blind Box Water Globe Hot Topic Exclusive, ",Hot Topic,12.50,10.00
94,"Funko Digimon Pop! Animation Tai Vinyl Figure, ",Hot Topic,12.50,9.00
95,"Funko Blink-182 Pop! Rocks Mark Hoppus Vinyl Figure, ",Hot Topic,12.50,9.00
96,"Funko Little Shop Of Horrors SuperCute Plushies Audrey II Plush Collectible Hot Topic Exclusive, ",Hot Topic,36.90,29.52
97,"Funko Saturday Night Live Pop! SNL Spartan Cheerleaders Vinyl Figure Set, ",Hot Topic,22.50,18.00
98,"Funko Saturday Night Live Pop! SNL Roseanne Roseannadanna Vinyl Figure, ",Hot Topic,12.50,9.00
99,"Funko Little Shop Of Horrors Pop! Movies Audrey Fulquard Vinyl Figure, ",Hot Topic,12.50,9.00
100,"Funko Star Wars: The Clone Wars Pop! Ahsoka Vinyl Bobble-Head Hot Topic Exclusive, ",Hot Topic,12.50,
101,"Funko The Nightmare Before Christmas SuperCute Plushies Pumpkin King Santa Collectible Plush Hot Topic Exclusive, ",Hot Topic,32.90,26.32
102,"Funko It Mystery Minis Blind Box Vinyl Figure Hot Topic Exclusive Variants, ",Hot Topic,7.90,6.32
103,"Funko The Predator Pop! Movies Predator Hound Vinyl Figure, ",Hot Topic,12.50,9.00
104,"Funko Rock Candy Doctor Who Thirteenth Doctor Vinyl Figure, ",Hot Topic,10.50,8.40
105,"Funko Star Wars Vynl. Darth Vader & Stormtrooper Vinyl Figures, ",Hot Topic,18.90,15.12
106,"Funko Power Rangers Pop! Television Billy Vinyl Figure, ",Hot Topic,12.50,9.00
107,"Funko Power Rangers Pop! Television Goldar Vinyl Figure, ",Hot Topic,12.50,9.00
108,"Funko Power Rangers Pop! Television Rita Repulsa Vinyl Figure, ",Hot Topic,12.50,9.00
109,"Funko Power Rangers Pop! Television Lord Zedd Vinyl Figure, ",Hot Topic,12.50,9.00
110,"Funko Power Rangers Pop! Television Zack Vinyl Figure, ",Hot Topic,12.50,9.00
111,"Funko Power Rangers Pop! Television Tommy Vinyl Figure, ",Hot Topic,12.50,9.00
112,"Funko Power Rangers Pop! Television Kimberly Vinyl Figure, ",Hot Topic,12.50,9.00
113,"Funko Classic Horror SuperCute Plushies Chucky Collectible Plush Hot Topic Exclusive, ",Hot Topic,38.90,31.12
114,"Funko Power Rangers Pop! Television Trini Vinyl Figure, ",Hot Topic,12.50,9.00
115,"Funko Power Rangers Pop! Television Jason Vinyl Figure, ",Hot Topic,12.50,9.00
116,"Funko Riverdale Pop! Television Josie McCoy Vinyl Figure 2018 Summer Convention Exclusive, ",Hot Topic,15.00,9.00
117,"Funko Marvel Black Panther Pop! T'Challa Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
118,"Funko Saga Pop! Comics Ghus In Pajamas Flocked Vinyl Figure 2018 Summer Convention Exclusive, ",Hot Topic,15.00,9.00
119,"Funko Star Wars: The Clone Wars Pop! Cad Bane Vinyl Bobble-Head 2018 Summer Convention Exclusive, ",Hot Topic,15.00,9.00
120,"Funko Disney Christopher Robin Pop! Eeyore Vinyl Figure, ",Hot Topic,12.50,9.00
121,"Funko TailSpin Pop! Baloo Vinyl Figure, ",Hot Topic,12.50,9.00
122,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Freddy Collectible Plush, ",Hot Topic,14.90,11.92
123,"Funko Disney TailSpin Pop! Rebecca Cunningham Vinyl Figure, ",Hot Topic,12.50,9.00
124,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Chica Collectible Plush, ",Hot Topic,14.90,11.92
125,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Stanley Collectible Plush, ",Hot Topic,14.90,11.92
126,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Bonnie Collectible Plush, ",Hot Topic,14.90,11.92
127,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Theodore Collectible Plush, ",Hot Topic,14.90,11.92
128,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Foxy Collectible Plush, ",Hot Topic,14.90,11.92
129,"Funko Disney TailSpin Pop! Louie Vinyl Figure, ",Hot Topic,12.50,9.00
130,"Funko Disney TailSpin Pop! Shere Khan Vinyl Figure, ",Hot Topic,12.50,9.00
131,"Funko Mister Rogers' Neighborhood Supercute Plushies Mr. Rogers Collectible Plush, ",Hot Topic,12.90,10.32
132,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Wolf Collectible Plush, ",Hot Topic,14.90,11.92
133,"Funko Marvel Ant-Man And The Wasp Pop! Hank Pym Unmasked Vinyl Bobble-Head Hot Topic Exclusive, ",Hot Topic,12.50,
134,"Funko Overwatch Pop! Games Orisa Vinyl Figure, ",Hot Topic,18.50,14.80
135,"Funko Mega Man Pop! Games Mega Man Vinyl Figure, ",Hot Topic,12.50,9.00
136,"Funko Gargoyles Pop! Demona (Stone) Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
137,"Funko Steven Universe Pop! Animation Stevonnie Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
138,"Funko Dragon Ball Z Pop! Animation Master Roshi Vinyl Figure, ",Hot Topic,12.50,9.00
139,"Funko Dragon Ball Z Pop! Animation Tien And Chiaotzu Vinyl Figure, ",Hot Topic,12.50,9.00
140,"Funko Steven Universe SuperCute Plushies Pumpkin Collectible Plush Hot Topic Exclusive, ",Hot Topic,34.90,27.92
141,"Funko Dragon Ball Z Pop! Animation Gohan (Training Outfit) Vinyl Figure, ",Hot Topic,12.50,9.00
142,"Funko Dragon Ball Z Pop! Animation Bulma Vinyl Figure, ",Hot Topic,12.50,9.00
143,"Funko The Nightmare Before Christmas Barrel Supercute Plushie, ",Hot Topic,14.90,11.92
144,"Funko Steven Universe Mystery Minis Blind Bag Plush Key Chain, ",Hot Topic,5.90,4.72
145,"Funko Overwatch Pop! Games Genji Vinyl Figure, ",Hot Topic,12.50,9.00
146,"Funko Adventure Time x Minecraft Pop! Animation Finn Vinyl Figure, ",Hot Topic,12.50,9.00
147,"Funko The Nightmare Before Christmas SuperCute Plushies Jack Skellington Collectible Plush, ",Hot Topic,12.90,10.32
148,"Funko Disney Gargoyles Pocket Pop! Demona Key Chain, ",Hot Topic,6.90,5.52
149,"Funko Five Nights At Freddy's Pop! Games Rockstar Foxy Vinyl Figure, ",Hot Topic,12.50,9.00
150,"Funko Overwatch Pop! Games Ana Vinyl Figure, ",Hot Topic,12.50,9.00
